subject,Classifier,number of sensors,logloss,participant
10,LDA,1,1.039651868,Able-bodied
10,RDA,1,0.801227985,Able-bodied
10,QDA,1,1.007734022,Able-bodied
10,LDA,2,0.939491574,Able-bodied
10,RDA,2,0.766651586,Able-bodied
10,QDA,2,0.938563464,Able-bodied
10,LDA,3,0.709981874,Able-bodied
10,RDA,3,0.619419584,Able-bodied
10,QDA,3,0.848409517,Able-bodied
10,LDA,4,0.558544611,Able-bodied
10,RDA,4,0.51329765,Able-bodied
10,QDA,4,0.771783911,Able-bodied
10,LDA,5,0.515053224,Able-bodied
10,RDA,5,0.520041578,Able-bodied
10,QDA,5,0.776667891,Able-bodied
10,LDA,6,0.485512793,Able-bodied
10,RDA,6,0.505194916,Able-bodied
10,QDA,6,0.770720498,Able-bodied
10,LDA,7,0.485101788,Able-bodied
10,RDA,7,0.554865986,Able-bodied
10,QDA,7,0.729855001,Able-bodied
10,LDA,8,0.465536138,Able-bodied
10,RDA,8,0.550972123,Able-bodied
10,QDA,8,0.773918836,Able-bodied
10,LDA,9,0.450299846,Able-bodied
10,RDA,9,0.550028851,Able-bodied
10,QDA,9,0.768896754,Able-bodied
10,LDA,10,0.460196736,Able-bodied
10,RDA,10,0.529089487,Able-bodied
10,QDA,10,0.763026211,Able-bodied
10,LDA,11,0.442339837,Able-bodied
10,RDA,11,0.548282742,Able-bodied
10,QDA,11,0.784901041,Able-bodied
10,LDA,12,0.463662432,Able-bodied
10,RDA,12,0.558581757,Able-bodied
10,QDA,12,0.781267945,Able-bodied
10,LDA,13,0.477176924,Able-bodied
10,RDA,13,0.496644808,Able-bodied
10,QDA,13,0.793909294,Able-bodied
10,LDA,14,0.482284162,Able-bodied
10,RDA,14,0.501707355,Able-bodied
10,QDA,14,0.802165219,Able-bodied
10,LDA,15,0.481166795,Able-bodied
10,RDA,15,0.497047737,Able-bodied
10,QDA,15,0.812245054,Able-bodied
10,LDA,16,0.483147227,Able-bodied
10,RDA,16,0.492774715,Able-bodied
10,QDA,16,0.83506621,Able-bodied
11,LDA,1,0.782068403,Able-bodied
